PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36018189","TMEM16F may be a new therapeutic target for Alzheimer's disease","Cui ZQ, Hu XY, Yang T, Guan JW, Gu Y, Li HY, Zhang HY, Xiao QH, Sun XH.","Neural Regen Res. 2023 Mar;18(3):643-651. doi: 10.4103/1673-5374.350211.","Cui ZQ","Neural Regen Res","2023","2022/08/26","","","10.4103/1673-5374.350211"
"35917615","The effect of arginine on inhibiting amyloid fibril derived from β-casein and the binding studies with multi-spectroscopic techniques","Wang J, Xie H, Dong Q, Liu J, Su J, An Y, Zeng B, Sun B, Liu J.","Spectrochim Acta A Mol Biomol Spectrosc. 2022 Dec 5;282:121681. doi: 10.1016/j.saa.2022.121681. Epub 2022 Jul 26.","Wang J","Spectrochim Acta A Mol Biomol Spectrosc","2022","2022/08/02","","","10.1016/j.saa.2022.121681"
"35899776","Fluorosulfate-containing pyrazole heterocycles as selective BuChE inhibitors: structure-activity relationship and biological evaluation for the treatment of Alzheimer's disease","Li HH, Wu C, Zhang SL, Yang JG, Qin HL, Tang W.","J Enzyme Inhib Med Chem. 2022 Dec;37(1):2099-2111. doi: 10.1080/14756366.2022.2103553.","Li HH","J Enzyme Inhib Med Chem","2022","2022/07/28","PMC9448382","","10.1080/14756366.2022.2103553"
"36044812","Recent advance on pleiotropic cholinesterase inhibitors bearing amyloid modulation efficacy","Zhang H, Peng Y, Zhuo L, Wang Y, Zeng G, Wang S, Long L, Li X, Wang Z.","Eur J Med Chem. 2022 Nov 15;242:114695. doi: 10.1016/j.ejmech.2022.114695. Epub 2022 Aug 27.","Zhang H","Eur J Med Chem","2022","2022/08/31","","","10.1016/j.ejmech.2022.114695"
"35535871","The relationship between amyloid-beta and brain capillary endothelial cells in Alzheimer's disease","Zhang YL, Wang J, Zhang ZN, Su Q, Guo JH.","Neural Regen Res. 2022 Nov;17(11):2355-2363. doi: 10.4103/1673-5374.335829.","Zhang YL","Neural Regen Res","2022","2022/05/10","PMC9120708","","10.4103/1673-5374.335829"
"35970403","Tetramerization of the S100B Chaperone Spawns a Ca(2+) Independent Regulatory Surface that Enhances Anti-aggregation Activity and Client Specificity","Figueira AJ, Moreira GG, Saavedra J, Cardoso I, Gomes CM.","J Mol Biol. 2022 Oct 15;434(19):167791. doi: 10.1016/j.jmb.2022.167791. Epub 2022 Aug 12.","Figueira AJ","J Mol Biol","2022","2022/08/15","","","10.1016/j.jmb.2022.167791"
"35907468","An amphiphilic small molecule drives insulin aggregation inhibition and amyloid disintegration","Das A, Gangarde YM, Pariary R, Bhunia A, Saraogi I.","Int J Biol Macromol. 2022 Oct 1;218:981-991. doi: 10.1016/j.ijbiomac.2022.07.155. Epub 2022 Jul 27.","Das A","Int J Biol Macromol","2022","2022/07/30","","","10.1016/j.ijbiomac.2022.07.155"
"35905928","Inhibition of PLK2 activity affects APP and tau pathology and improves synaptic content in a sex-dependent manner in a 3xTg mouse model of Alzheimer's disease","Martínez-Drudis L, Sheta R, Pellegrinato R, Loukili S, Tremblay C, Calon F, Rivest S, Oueslati A.","Neurobiol Dis. 2022 Oct 1;172:105833. doi: 10.1016/j.nbd.2022.105833. Epub 2022 Jul 26.","Martínez-Drudis L","Neurobiol Dis","2022","2022/07/29","","","10.1016/j.nbd.2022.105833"
"35871651","Islet amyloid polypeptide aggregation exerts cytotoxic and proinflammatory effects on the islet vasculature in mice","Castillo JJ, Aplin AC, Hackney DJ, Hogan MF, Esser N, Templin AT, Akter R, Kahn SE, Raleigh DP, Zraika S, Hull RL.","Diabetologia. 2022 Oct;65(10):1687-1700. doi: 10.1007/s00125-022-05756-9. Epub 2022 Jul 25.","Castillo JJ","Diabetologia","2022","2022/07/24","","","10.1007/s00125-022-05756-9"
"35867206","Dysregulated miRNAs in Progression and Pathogenesis of Alzheimer's Disease","Arora T, Prashar V, Singh R, Barwal TS, Changotra H, Sharma A, Parkash J.","Mol Neurobiol. 2022 Oct;59(10):6107-6124. doi: 10.1007/s12035-022-02950-z. Epub 2022 Jul 22.","Arora T","Mol Neurobiol","2022","2022/07/22","","","10.1007/s12035-022-02950-z"
