PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35964570","Modifying functional properties of food amyloid-based nanostructures from rice glutelin","Li T, Zhou J, Wu Q, Zhang X, Chen Z, Wang L.","Food Chem. 2023 Jan 1;398:133798. doi: 10.1016/j.foodchem.2022.133798. Epub 2022 Jul 26.","Li T","Food Chem","2023","2022/08/14","","","10.1016/j.foodchem.2022.133798"
"35985235","Identification of a biological excimer involving protein-protein interactions: A case study of the α-synuclein aggregation","Saraiva MA, Helena Florêncio M.","Spectrochim Acta A Mol Biomol Spectrosc. 2022 Dec 15;283:121761. doi: 10.1016/j.saa.2022.121761. Epub 2022 Aug 13.","Saraiva MA","Spectrochim Acta A Mol Biomol Spectrosc","2022","2022/08/19","","","10.1016/j.saa.2022.121761"
"35899776","Fluorosulfate-containing pyrazole heterocycles as selective BuChE inhibitors: structure-activity relationship and biological evaluation for the treatment of Alzheimer's disease","Li HH, Wu C, Zhang SL, Yang JG, Qin HL, Tang W.","J Enzyme Inhib Med Chem. 2022 Dec;37(1):2099-2111. doi: 10.1080/14756366.2022.2103553.","Li HH","J Enzyme Inhib Med Chem","2022","2022/07/28","PMC9448382","","10.1080/14756366.2022.2103553"
"35977442","Whole genome analysis in APOE4 homozygotes identifies the DAB1-RELN pathway in Alzheimer's disease pathogenesis","Bracher-Smith M, Leonenko G, Baker E, Crawford K, Graham AC, Salih DA, Howell BW, Hardy J, Escott-Price V.","Neurobiol Aging. 2022 Nov;119:67-76. doi: 10.1016/j.neurobiolaging.2022.07.009. Epub 2022 Jul 29.","Bracher-Smith M","Neurobiol Aging","2022","2022/08/17","","","10.1016/j.neurobiolaging.2022.07.009"
"35964542","Amyloid- β and tau deposition influences cognitive and functional decline in Down syndrome","Grigorova M, Mak E, Brown SSG, Beresford-Webb J, Hong YT, Fryer TD, Coles JP, Aigbirhio FI, Tudorascu D, Cohen A, Christian BT, Ances B, Handen BL, Laymon CM, Klunk WE, Clare ICH, Holland AJ, Zaman SH.","Neurobiol Aging. 2022 Nov;119:36-45. doi: 10.1016/j.neurobiolaging.2022.07.003. Epub 2022 Jul 21.","Grigorova M","Neurobiol Aging","2022","2022/08/14","","","10.1016/j.neurobiolaging.2022.07.003"
"35835586","The deciphering of the immune cells and marker signature in COVID-19 pathogenesis: An update","Jasim SA, Mahdi RS, Bokov DO, Najm MAA, Sobirova GN, Bafoyeva ZO, Taifi A, Alkadir OKA, Mustafa YF, Mirzaei R, Karampoor S.","J Med Virol. 2022 Nov;94(11):5128-5148. doi: 10.1002/jmv.28000. Epub 2022 Jul 23.","Jasim SA","J Med Virol","2022","2022/07/14","PMC9350195","","10.1002/jmv.28000"
"35588606","Human tau fibrillization and neurotoxicity in the presence of magnesium oxide nanoparticle fabricated through laser ablation method","Aliakbari F, Attar F, Movahedi M, Falahati M.","Spectrochim Acta A Mol Biomol Spectrosc. 2022 Oct 5;278:121372. doi: 10.1016/j.saa.2022.121372. Epub 2022 May 11.","Aliakbari F","Spectrochim Acta A Mol Biomol Spectrosc","2022","2022/05/19","","","10.1016/j.saa.2022.121372"
"35981471","Submicron-size polystyrene modulates amyloid fibril formation: From the perspective of protein corona","Chen Y, Liu Q, Yang F, Yu H, Xie Y, Yao W.","Colloids Surf B Biointerfaces. 2022 Oct;218:112736. doi: 10.1016/j.colsurfb.2022.112736. Epub 2022 Aug 3.","Chen Y","Colloids Surf B Biointerfaces","2022","2022/08/18","","","10.1016/j.colsurfb.2022.112736"
"35904715","Clusterin Binding Modulates the Aggregation and Neurotoxicity of Amyloid-β(1-42)","Kim YM, Park S, Choi SY, Oh SB, Jung M, Pack CG, Hwang JJ, Tak E, Lee JY.","Mol Neurobiol. 2022 Oct;59(10):6228-6244. doi: 10.1007/s12035-022-02973-6. Epub 2022 Jul 29.","Kim YM","Mol Neurobiol","2022","2022/07/29","","","10.1007/s12035-022-02973-6"
"35863661","Structural characterisation of amyloidogenic intrinsically disordered zinc finger protein isoforms DPF3b and DPF3a","Mignon J, Mottet D, Leyder T, Uversky VN, Perpète EA, Michaux C.","Int J Biol Macromol. 2022 Oct 1;218:57-71. doi: 10.1016/j.ijbiomac.2022.07.102. Epub 2022 Jul 18.","Mignon J","Int J Biol Macromol","2022","2022/07/21","","","10.1016/j.ijbiomac.2022.07.102"
"35820640","Molecular basis of the anchoring and stabilization of human islet amyloid polypeptide in lipid hydroperoxidized bilayers","Espinosa YR, Barrera Valderrama DI, Carlevaro CM, Llanos EJ.","Biochim Biophys Acta Gen Subj. 2022 Oct;1866(10):130200. doi: 10.1016/j.bbagen.2022.130200. Epub 2022 Jul 9.","Espinosa YR","Biochim Biophys Acta Gen Subj","2022","2022/07/12","","","10.1016/j.bbagen.2022.130200"
"35259851","Toxicities of amyloid-beta and tau protein are reciprocally enhanced in the Drosophila model","Sun ZD, Hu JX, Wu JR, Zhou B, Huang YP.","Neural Regen Res. 2022 Oct;17(10):2286-2292. doi: 10.4103/1673-5374.336872.","Sun ZD","Neural Regen Res","2022","2022/03/09","PMC9083152","","10.4103/1673-5374.336872"
"35690129","Probing the polyphenolic flavonoid, morin as a highly efficacious inhibitor against amyloid(A4V) mutant SOD1 in fatal amyotrophic lateral sclerosis","Srinivasan E, Chandrasekhar G, Rajasekaran R.","Arch Biochem Biophys. 2022 Sep 30;727:109318. doi: 10.1016/j.abb.2022.109318. Epub 2022 Jun 9.","Srinivasan E","Arch Biochem Biophys","2022","2022/06/11","","","10.1016/j.abb.2022.109318"
"35749963","Aβ(1-42) peptide toxicity on neuronal cells: A lipidomic study","Davani L, Fu X, De Simone A, Li P, Montanari S, Lämmerhofer M, Andrisano V.","J Pharm Biomed Anal. 2022 Sep 20;219:114876. doi: 10.1016/j.jpba.2022.114876. Epub 2022 Jun 6.","Davani L","J Pharm Biomed Anal","2022","2022/06/24","","","10.1016/j.jpba.2022.114876"
"36121025","Enzyme-substrate interface targeting by imidazole-based γ-secretase modulators activates γ-secretase and stabilizes its interaction with APP","Petit D, Hitzenberger M, Koch M, Lismont S, Zoltowska KM, Enzlein T, Hopf C, Zacharias M, Chávez-Gutiérrez L.","EMBO J. 2022 Sep 19:e111084. doi: 10.15252/embj.2022111084. Online ahead of print.","Petit D","EMBO J","2022","2022/09/19","","","10.15252/embj.2022111084"
