DOI,Title,relevant
10.2174/156720508785908883,Increased Abeta1-42 production sensitizes neuroblastoma cells for ER stress toxicity,FALSE
10.1016/j.nbd.2019.03.022,Soluble tau aggregates inhibit synaptic long-term depression and amyloid β-facilitated LTD in vivo,FALSE
10.3233/jad-160636,Purported Interactions of Amyloid-β and Glucocorticoids in Cytotoxicity and Genotoxicity: Implications in Alzheimer's Disease,FALSE
10.1038/74833,Amyloid beta interacts with the amyloid precursor protein: a potential toxic mechanism in Alzheimer's disease,FALSE
10.1007/s00284-018-1440-1,The Extracellular Polymeric Substances of Legionella pneumophila Biofilms Contain Amyloid Structures,FALSE
10.7554/elife.10935,Inhibition by small-molecule ligands of formation of amyloid fibrils of an immunoglobulin light chain variable domain,FALSE
10.1074/jbc.m110.128439,Dual role of alpha-secretase cleavage in the regulation of gamma-secretase activity for amyloid production,FALSE
10.3233/jad-215351,Late-Life Obesity Associated with Tau Pathology in Cognitively Normal Individuals: The CABLE Study,FALSE
10.1021/cn2000926,Aβ(1-42) assembly in the presence of scyllo-inositol derivatives: identification of an oxime linkage as important for the development of assembly inhibitors,FALSE
,Assessment of the Interaction of Aggregatin Protein with Amyloid-Beta (AÎ˛) at the Molecular Level via In Silico Analysis,FALSE
10.1038/npp.2010.245,Huperzine A activates Wnt/β-catenin signaling and enhances the nonamyloidogenic pathway in an Alzheimer transgenic mouse model,FALSE
10.1093/femsyr/foaa025,Quantitative assessment of chaperone binding to amyloid aggregates identifies specificity of Hsp40 interaction with yeast prion fibrils,FALSE
,[Alzheimer's disease: new prospects in therapy and applied experimental models],FALSE
10.1091/mbc.e16-10-0732,The novel mitochondrial matrix protease Ste23 is required for efficient presequence degradation and processing,FALSE
10.3233/jad-2005-8207,"Calcium in Alzheimer's disease pathogenesis: too much, too little or in the wrong place?",FALSE
10.3233/jad-170711,Free Heme and Amyloid-β: A Fatal Liaison in Alzheimer's Disease,FALSE
10.1096/fj.01-0442hyp,A possible role for pi-stacking in the self-assembly of amyloid fibrils,FALSE
10.1016/j.neuropharm.2013.02.003,Orally bioavailable and brain-penetrant pyridazine and pyridine-derived γ-secretase modulators reduced amyloidogenic Aβ peptides in vivo,FALSE
10.1371/journal.pgen.1008903,Protein-Protein interactions uncover candidate 'core genes' within omnigenic disease networks,FALSE
10.1186/s13195-017-0308-0,PKR involvement in Alzheimer's disease,FALSE
10.1016/j.colsurfb.2019.01.033,Investigating the effects of amino acid-based surface modification of carbon nanoparticles on the kinetics of insulin amyloid formation,FALSE
10.1016/j.nicl.2019.101786,"Modeling grey matter atrophy as a function of time, aging or cognitive decline show different anatomical patterns in Alzheimer's disease",FALSE
10.1042/0264-6021:3490077,Apolipoprotein E includes a binding site which is recognized by several amyloidogenic polypeptides,FALSE
10.3390/biology11010026,Small Angle X-ray Scattering Sensing Membrane Composition: The Role of Sphingolipids in Membrane-Amyloid β-Peptide Interaction,FALSE
10.2174/0929867323666151127201249,Neuroprotective Activities of Marine Natural Products from Marine Sponges,FALSE
10.1134/s0006297917020079,Effects of Seeding on Lysozyme Amyloid Fibrillation in the Presence of Epigallocatechin and Polyethylene Glycol,FALSE
10.1016/j.bbi.2010.11.012,TGF-β1 affects endothelial cell interaction with macrophages and T cells leading to the development of cerebrovascular amyloidosis,FALSE
10.1016/j.sjbs.2020.09.006,Optimization of expression and purification of mitochondrial HSP 40 (Tid1-L) chaperone: Role of mortalin and tid1 in the reactivation and amyloid inhibition of proteins,FALSE
10.3389/fnmol.2018.00198,Cosmosiin Increases ADAM10 Expression via Mechanisms Involving 5'UTR and PI3K Signaling,FALSE
10.1016/j.ijbiomac.2019.07.055,Exploring the influence of brilliant blue G on amyloid fibril formation of lysozyme,FALSE
10.1038/s41598-020-72989-2,Hyaluronan-carnosine conjugates inhibit Aβ aggregation and toxicity,FALSE
10.1021/la403416b,Omega-3 fatty acids regulate the interaction of the Alzheimer's aβ(25-35) peptide with lipid membranes,FALSE
10.1007/s00775-013-1055-8,Gd(3+) complexes conjugated to Pittsburgh compound B: potential MRI markers of β-amyloid plaques,FALSE
10.1021/la047044w,Surface-induced aggregation of beta amyloid peptide by co-substituted alkanethiol monolayers supported on gold,FALSE
10.1016/j.bpc.2020.106524,Herpes simplex virus encoded ICP6 protein forms functional amyloid assemblies with necroptosis-associated host proteins,FALSE
10.3390/molecules27061776,"Amyloid Cross-Seeding: Mechanism, Implication, and Inhibition",FALSE
10.1016/j.neuron.2007.07.025,Aberrant excitatory neuronal activity and compensatory remodeling of inhibitory hippocampal circuits in mouse models of Alzheimer's disease,FALSE
10.1186/1743-8454-6-11,Involvement of insulin-degrading enzyme in the clearance of beta-amyloid at the blood-CSF barrier: Consequences of lead exposure,FALSE
10.6133/apjcn.2014.23.4.24,Turmeric improves post-prandial working memory in pre-diabetes independent of insulin,FALSE
10.1016/j.bbadis.2012.07.015,Crosstalk between the ubiquitin-proteasome system and autophagy in a human cellular model of Alzheimer's disease,FALSE
