PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36107206","Elevating microglia TREM2 reduces amyloid seeding and suppresses disease-associated microglia","Zhao N, Qiao W, Li F, Ren Y, Zheng J, Martens YA, Wang X, Li L, Liu CC, Chen K, Zhu Y, Ikezu TC, Li Z, Meneses AD, Jin Y, Knight JA, Chen Y, Bastea L, Linares C, Sonustun B, Job L, Smith ML, Xie M, Liu YU, Umpierre AD, Haruwaka K, Quicksall ZS, Storz P, Asmann YW, Wu LJ, Bu G.","J Exp Med. 2022 Dec 5;219(12):e20212479. doi: 10.1084/jem.20212479. Epub 2022 Sep 15.","Zhao N","J Exp Med","2022","2022/09/15","","","10.1084/jem.20212479"
"36097290","Cryo-EM structure of disease-related prion fibrils provides insights into seeding barriers","Li Q, Jaroniec CP, Surewicz WK.","Nat Struct Mol Biol. 2022 Sep 12. doi: 10.1038/s41594-022-00833-4. Online ahead of print.","Li Q","Nat Struct Mol Biol","2022","2022/09/13","","","10.1038/s41594-022-00833-4"
"36071460","In vivo assessment of Lewy body and beta-amyloid copathologies in idiopathic normal pressure hydrocephalus: prevalence and associations with clinical features and surgery outcome","Giannini G, Baiardi S, Dellavalle S, Zenesini C, Cevoli S, Danner N, Jyrkkänen HK, Rossi M, Polischi B, Quadalti C, Stefanini C, Cortelli P, Milletti D, Herukka SK, Palandri G, Leinonen V, Parchi P.","Fluids Barriers CNS. 2022 Sep 7;19(1):71. doi: 10.1186/s12987-022-00368-2.","Giannini G","Fluids Barriers CNS","2022","2022/09/07","PMC9454182","","10.1186/s12987-022-00368-2"
"36065931","Amplification of Amyloid Protein-induced Aggregation of the Eukaryotic Ribosome","Ferdosh S, Banerjee S, Barat C.","Protein Pept Lett. 2022 Sep 5. doi: 10.2174/0929866529666220905112156. Online ahead of print.","Ferdosh S","Protein Pept Lett","2022","2022/09/06","","","10.2174/0929866529666220905112156"
"36078167","Neuroprotective Effects of a Novel Demeclocycline Derivative Lacking Antibiotic Activity: From a Hit to a Promising Lead Compound","Tomas-Grau R, González-Lizárraga F, Ploper D, Avila CL, Socías SB, Besnault P, Tourville A, Mella RM, Villacé P, Salado C, Rose C, Seon-Méniel B, Brunel JM, Ferrié L, Raisman-Vozari R, Michel PP, Figadère B, Chehín R.","Cells. 2022 Sep 4;11(17):2759. doi: 10.3390/cells11172759.","Tomas-Grau R","Cells","2022","2022/09/09","PMC9454755","","10.3390/cells11172759"
"35971743","Interactions of amyloid coaggregates with biomolecules and its relevance to neurodegeneration","Murakami K, Ono K.","FASEB J. 2022 Sep;36(9):e22493. doi: 10.1096/fj.202200235R.","Murakami K","FASEB J","2022","2022/08/16","","","10.1096/fj.202200235R"
"35664543","Revisiting misfolding propensity of serum amyloid A1: Special focus on the signal peptide region","Haines MS, Ramirez E, Moore KBE, Fortin JS.","Biochem Biophys Rep. 2022 May 30;31:101284. doi: 10.1016/j.bbrep.2022.101284. eCollection 2022 Sep.","Haines MS","Biochem Biophys Rep","2022","2022/06/06","PMC9160670","","10.1016/j.bbrep.2022.101284"
"35623497","Tau R2 and R3 are essential regions for tau aggregation, seeding and propagation","Annadurai N, Malina L, Malohlava J, Hajdúch M, Das V.","Biochimie. 2022 Sep;200:79-86. doi: 10.1016/j.biochi.2022.05.013. Epub 2022 May 24.","Annadurai N","Biochimie","2022","2022/05/27","","","10.1016/j.biochi.2022.05.013"
"36008417","Designed peptides as nanomolar cross-amyloid inhibitors acting via supramolecular nanofiber co-assembly","Taş K, Volta BD, Lindner C, El Bounkari O, Hille K, Tian Y, Puig-Bosch X, Ballmann M, Hornung S, Ortner M, Prem S, Meier L, Rammes G, Haslbeck M, Weber C, Megens RTA, Bernhagen J, Kapurniotu A.","Nat Commun. 2022 Aug 25;13(1):5004. doi: 10.1038/s41467-022-32688-0.","Taş K","Nat Commun","2022","2022/08/25","PMC9411207","","10.1038/s41467-022-32688-0"
"35969734","De novo designed protein inhibitors of amyloid aggregation and seeding","Murray KA, Hu CJ, Griner SL, Pan H, Bowler JT, Abskharon R, Rosenberg GM, Cheng X, Seidler PM, Eisenberg DS.","Proc Natl Acad Sci U S A. 2022 Aug 23;119(34):e2206240119. doi: 10.1073/pnas.2206240119. Epub 2022 Aug 15.","Murray KA","Proc Natl Acad Sci U S A","2022","2022/08/15","PMC9407671","","10.1073/pnas.2206240119"
"35974399","Pathological changes induced by Alzheimer's brain inoculation in amyloid-beta plaque-bearing mice","Lam S, Hérard AS, Boluda S, Petit F, Eddarkaoui S, Cambon K; Brainbank Neuro-CEB Neuropathology Network, Picq JL, Buée L, Duyckaerts C, Haïk S, Dhenain M.","Acta Neuropathol Commun. 2022 Aug 16;10(1):112. doi: 10.1186/s40478-022-01410-y.","Lam S","Acta Neuropathol Commun","2022","2022/08/16","PMC9380345","","10.1186/s40478-022-01410-y"
"36003141","Seed-induced Aβ deposits in the corpus callosum disrupt white matter integrity in a mouse model of Alzheimer's disease","Aires V, Ziegler-Waldkirch S, Friesen M, Reichardt W, Erny D, Loreth D, Harborne A, Kretz O, von Elverfeldt D, Meyer-Luehmann M.","Front Cell Neurosci. 2022 Aug 8;16:862918. doi: 10.3389/fncel.2022.862918. eCollection 2022.","Aires V","Front Cell Neurosci","2022","2022/08/25","PMC9393256","","10.3389/fncel.2022.862918"
"35714774","Substoichiometric Hsp104 regulates the genesis and persistence of self-replicable amyloid seeds of Sup35 prion domain","Mahapatra S, Sarbahi A, Madhu P, Swasthi HM, Sharma A, Singh P, Mukhopadhyay S.","J Biol Chem. 2022 Aug;298(8):102143. doi: 10.1016/j.jbc.2022.102143. Epub 2022 Jun 14.","Mahapatra S","J Biol Chem","2022","2022/06/17","PMC9304785","","10.1016/j.jbc.2022.102143"
